Ego,Alter,conttype
USA,CAN,1
USA,BHM,4
USA,CUB,4
USA,CUB,4
USA,MEX,1
USA,RUS,2
BHM,CUB,4
BHM,HAI,4
BHM,DOM,4
BHM,JAM,5
CUB,HAI,4
CUB,HAI,4
CUB,HAI,4
CUB,DOM,5
CUB,DOM,5
CUB,DOM,5
CUB,JAM,4
CUB,MEX,4
CUB,MEX,4
CUB,BLZ,5
CUB,HON,5
CUB,HON,5
HAI,DOM,1
HAI,DOM,1
HAI,JAM,4
HAI,COL,5
HAI,COL,5
DOM,JAM,5
DOM,SKN,5
DOM,COL,5
DOM,COL,5
DOM,VEN,5
DOM,VEN,5
JAM,HON,5
JAM,NIC,5
JAM,COL,5
TRI,BAR,4
TRI,GRN,4
TRI,SLU,5
TRI,SVG,4
TRI,VEN,3
TRI,GUY,4
TRI,SUR,5
BAR,DMA,5
BAR,GRN,4
BAR,SLU,4
BAR,SVG,4
BAR,AAB,5
BAR,VEN,5
BAR,GUY,5
DMA,GRN,5
DMA,SLU,4
DMA,SVG,5
DMA,SKN,5
DMA,VEN,4
GRN,SVG,2
GRN,AAB,5
GRN,SKN,5
GRN,VEN,4
GRN,GUY,5
SLU,SVG,3
SLU,AAB,5
SLU,SKN,5
SLU,VEN,5
SLU,GUY,5
SVG,AAB,5
SVG,SKN,5
SVG,VEN,4
SVG,GUY,5
AAB,SKN,3
AAB,VEN,4
SKN,VEN,4
MEX,BLZ,1
MEX,GUA,1
MEX,HON,5
BLZ,GUA,1
BLZ,HON,4
GUA,HON,1
GUA,SAL,1
GUA,NIC,5
GUA,COS,5
HON,SAL,1
HON,NIC,1
SAL,NIC,3
SAL,COS,5
NIC,COS,1
NIC,PAN,5
NIC,COL,5
COS,PAN,1
COS,COL,4
PAN,COL,1
COL,VEN,1
COL,ECU,1
COL,PER,1
COL,BRA,1
VEN,GUY,1
VEN,BRA,1
GUY,SUR,1
GUY,BRA,1
SUR,BRA,1
ECU,PER,1
ECU,BRA,1
PER,BRA,1
PER,BOL,1
PER,CHL,1
BRA,BOL,1
BRA,PAR,1
BRA,PAR,1
BRA,ARG,1
BRA,URU,1
BOL,PAR,1
BOL,PAR,1
BOL,CHL,1
BOL,ARG,1
PAR,ARG,1
PAR,ARG,1
CHL,ARG,1
ARG,URU,1
UKG,IRE,1
UKG,NTH,4
UKG,NTH,4
UKG,BEL,4
UKG,BEL,4
UKG,FRN,3
UKG,FRN,3
UKG,HAN,5
UKG,GMY,5
UKG,GMY,5
UKG,GFR,5
UKG,SWD,5
UKG,NOR,5
UKG,NOR,5
UKG,DEN,5
UKG,DEN,5
IRE,FRN,5
IRE,FRN,5
NTH,BEL,1
NTH,BEL,1
NTH,FRN,5
NTH,FRN,5
NTH,HAN,1
NTH,GMY,1
NTH,GMY,1
NTH,GFR,1
NTH,SWD,5
NTH,NOR,5
NTH,NOR,5
NTH,DEN,4
NTH,DEN,4
BEL,LUX,1
BEL,LUX,1
BEL,FRN,1
BEL,FRN,1
BEL,GMY,1
BEL,GMY,1
BEL,GFR,1
BEL,DEN,5
BEL,DEN,5
LUX,FRN,1
LUX,FRN,1
LUX,GMY,1
LUX,GMY,1
LUX,GMY,1
LUX,GFR,1
FRN,MNC,1
FRN,SWZ,1
FRN,SWZ,1
FRN,SPN,1
FRN,SPN,1
FRN,AND,1
FRN,BAV,1
FRN,GMY,1
FRN,GMY,1
FRN,GMY,1
FRN,GFR,1
FRN,BAD,1
FRN,ITA,1
FRN,ITA,1
FRN,PAP,4
FRN,MOD,4
FRN,TUS,3
FRN,DEN,5
FRN,DEN,5
FRN,ALG,5
FRN,TUN,5
FRN,TUN,5
MNC,SPN,5
MNC,ITA,4
LIE,SWZ,1
LIE,AUS,1
SWZ,BAV,2
SWZ,GMY,1
SWZ,GMY,1
SWZ,GFR,1
SWZ,BAD,1
SWZ,WRT,2
SWZ,AUH,1
SWZ,AUS,1
SWZ,AUS,1
SWZ,ITA,1
SPN,AND,1
SPN,POR,1
SPN,ITA,5
SPN,TUS,5
SPN,MAA,5
SPN,MOR,3
SPN,ALG,4
SPN,TUN,5
SPN,TUN,5
POR,MOR,4
POR,MOR,4
HAN,GMY,1
HAN,HSE,1
HAN,MEC,1
HAN,SWD,5
HAN,DEN,4
BAV,GMY,1
BAV,BAD,1
BAV,SAX,1
BAV,WRT,1
BAV,HSE,1
BAV,HSG,1
BAV,AUH,1
GMY,BAD,1
GMY,SAX,1
GMY,WRT,1
GMY,HSE,1
GMY,HSG,1
GMY,MEC,1
GMY,POL,1
GMY,POL,1
GMY,AUH,1
GMY,AUS,1
GMY,AUS,1
GMY,HUN,1
GMY,CZE,1
GMY,CZE,1
GMY,CZR,1
GMY,ITA,1
GMY,YUG,1
GMY,YUG,1
GMY,RUS,1
GMY,RUS,5
GMY,EST,5
GMY,EST,5
GMY,LAT,5
GMY,LIT,5
GMY,FIN,5
GMY,SWD,4
GMY,SWD,4
GMY,NOR,5
GMY,NOR,5
GMY,DEN,4
GMY,DEN,1
GMY,DEN,1
GFR,GDR,1
GFR,AUS,1
GFR,CZE,1
GFR,RUS,5
GFR,SWD,4
GFR,NOR,5
GFR,DEN,1
GDR,POL,1
